"","defteam","defensive_success_in_red_zone","defensive_success_not_in_red_zone"
"1","SEA",0.470779220779221,0.951942619278502
"2","DEN",1.51428571428571,1.12358213756986
"3","PHI",0.457802547770701,1.02448696063985
"4","NE",1.15438596491228,1.11133970539912
"5","TB",0.419540229885058,1.39733375156839
"6","LA",0.932038834951456,1.21437757509921
"7","KC",1.87096774193548,1.38121286708541
"8","KC_19",2.63849765258216,1.31036303795824
"9","NE_14",1.10529377545084,1.19194890838181
"10","NE_16",1.3147804576376,0.915929705215401
